log_adj,smiles,group
0.940451356,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,training
1.674146388,Clc1cnc(N2CCN(CC2)Cc2cn(nc2)C)cc1C(=O)Nc1cc-2c(CCc3c-2n(nc3C(=O)N)-c2cc(F)ccc2)cc1,training
1.419699177,Fc1ccc(NC(=O)N2CCCC2)cc1-c1[nH]c2ncc(cc2n1)-c1ccccc1,training
1.60444866,ClC=1C=Cc2n(C=1)c(C(=O)NCc1ccc(cc1)-c1ccc(Cl)cc1)c(n2)CC,training
1.662952954,O(C)c1cc2CCCN(c2cc1)c1nc(nc2c1cccc2)C,training
1.979323777,S(CC(=O)c1ccc(NS(=O)(=O)C)cc1)c1cc2OCCOc2cc1,training
1.330058572,O=C(Nc1ccccc1C(=O)N)c1cccnc1N1CCCCC1,training
1.381752786,[H]C12CC3=C4C(OC5C(O)C=CC1C45CCN2C)=C(OC)C=C3,training
1.706787497,O(\N=C(\N)/c1ccc(cc1)-c1nc(cnc1)-c1ccc(nc1)/C(=N/OC)/N)C,training
1.408076103,O(c1ccc(NC(=O)N2CCN(CC2)c2ncnc3c2ccc(OCCOC)c3)cc1)c1cc2c([nH]cc2)cc1,training
1.744223666,[nH]1nc(nn1)-c1cc(ccc1)-c1ccc(cc1)C,training
2.112687783,O(C)c1cccc(OC)c1CNC(=O)c1[nH]c2c(cc(cc2)C[C@H](NC[C@H](O)c2cc(CO)c(O)cc2)C)c1,training
0.509000161,S(=O)(=O)(Nc1cccc(N(Cc2ccc(F)cc2F)Cc2ccc(Oc3cc(OCC(O)=O)c(F)cc3)cc2)c1C)C,training
1.194306699,Clc1c2NCCOc2ccc1-c1c(C)c(nc(C)c1[C@H](OC(C)(C)C)C(O)=O)-c1cc(C)c(cc1)C,training
1.527968141,O=C(NO)\C=C\c1cc2nc(n(c2cc1)CCN(CC)CC)CCc1ccccc1,training
1.582508343,Clc1ccc(cc1)CN1S(=O)(=O)C(n2c(C1)cnc2)CC(C)C,training
0.807801806,Clc1cc(ccc1Cl)-c1oc2c(n1)cc(S(=O)(=O)CC)cc2,training
1.454682432,O(c1c(n(nc1CC)CCO)CC)c1cc(cc(c1)C)C#N,training
